Player,Team,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Knight,BLG,"['sova', 'fade', 'cypher']",179,0.83,149.1,0.81,69%,105.0,0.51,0.23,0.06,0.09,26%,7%,1/15,18,92,113,42,11,16
Serial,TL,"['gekko', 'killjoy', 'cypher']",142,0.83,155.2,0.84,66%,103.1,0.57,0.16,0.09,0.07,45%,32%,6/19,20,81,97,23,13,10
Boo,TH,"['astra', 'viper', 'omen']",81,0.76,139.5,0.70,62%,86.7,0.48,0.43,0.02,0.10,38%,6%,1/17,14,39,56,35,2,8
crazyguy,RRQ,"['kayo', 'omen', 'fade']",100,0.75,144.2,0.65,64%,90.7,0.47,0.34,0.11,0.14,25%,9%,2/22,11,47,72,34,11,14
MiniBoo,TH,"['yoru', 'neon', 'raze']",81,0.74,167.5,0.81,60%,105.6,0.64,0.09,0.12,0.11,31%,,0/8,19,52,64,7,10,9
xenom,MIBR,"['omen', 'viper']",71,0.71,148.3,0.65,63%,101.7,0.55,0.15,0.06,0.14,35%,,0/12,15,39,60,11,4,10
cortezia,MIBR,"['cypher', 'killjoy']",71,0.69,164.0,0.66,59%,115.2,0.55,0.17,0.10,0.14,33%,,0/10,12,39,59,12,7,10
Viva,XLG,['sova'],75,0.67,147.0,0.51,59%,107.6,0.44,0.28,0.05,0.03,27%,,0/16,11,33,65,21,4,2
coconut,XLG,"['omen', 'viper']",75,0.65,128.3,0.57,65%,82.6,0.45,0.29,0.01,0.08,26%,23%,3/13,12,34,60,22,1,6
Midi,XLG,"['breach', 'gekko']",75,0.59,132.0,0.58,61%,88.8,0.48,0.19,0.04,0.03,34%,,0/5,14,36,62,14,3,2
aspas,MIBR,"['neon', 'jett', 'raze']",71,0.53,129.8,0.53,59%,88.8,0.44,0.17,0.07,0.21,18%,20%,1/5,10,31,59,12,5,15
artzin,MIBR,"['breach', 'harbor', 'gekko']",71,0.51,121.5,0.52,66%,86.3,0.44,0.25,0.04,0.15,26%,,0/5,12,31,60,18,3,11
